paid_status,gender,education,married_status,city,province,agerange,Age,salary,Category
Pending Payment,Male,Graduate,Unmarried,Soro,ODISHA,25-35,28,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,29,4,Bad
Pending Payment,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,34,4,Bad
Pending Payment,Male,Graduate,Married,Nabarangpur,ODISHA,>35,36,4,Excellent
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,23,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Bhubaneswar,ODISHA,25-35,31,4,Fair
Pending Payment,Male,Self Employed,Unmarried,Hyderabad,Telangana,25-35,26,4,Good
Pending Payment,Male,Graduate,Unmarried,Hubli,KARNATAKA,25-35,26,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Gird,MADHYA PRADESH,25-35,25,4,Bad
Pending Payment,Male,Post Graduate,Married,Ahmadabad City,GUJARAT,<25,24,5,Bad
Pending Payment,Male,Graduate,Unmarried,Tiruppur,TAMIL NADU,25-35,30,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,26,4,Bad
Pending Payment,Male,Post Graduate,Married,Farooqnagar,TELANGANA,25-35,25,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,<25,24,5,Bad
Pending Payment,Male,Self Employed,Unmarried,Indore,MADHYA PRADESH,25-35,30,4,Bad
Pending Payment,Male,Graduate,Unmarried,Chennai,TAMIL NADU,<25,22,4,Bad
Pending Payment,Male,Graduate,Unmarried,Tiruppur,Tamil Nadu,25-35,31,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Alirajpur,MADHYA PRADESH,<25,24,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,<25,24,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,<25,23,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Ratlam,MADHYA PRADESH,<25,24,6,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Hoskote,KARNATAKA,25-35,35,4,Excellent
Pending Payment,Male,Graduate,Married,Hyderabad,Telangana,25-35,35,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Chennai,Tamil Nadu,25-35,26,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Balanagar,TELANGANA,25-35,25,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Visakhapatnam,ANDHRA PRADESH,25-35,31,3,Excellent
Pending Payment,Male,Graduate,Married,Patancheru,TELANGANA,25-35,32,3,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,25-35,29,4,Excellent
Pending Payment,Male,Graduate,Married,Hindupur,ANDHRA PRADESH,25-35,30,4,Fair
Pending Payment,Male,Post Graduate,Married,Tondiarpet Fort St George,TAMIL NADU,25-35,33,4,Fair
Pending Payment,Female,Post Graduate,Married,Visakhapatnam (Urban),ANDHRA PRADESH,25-35,28,4,Fair
Pending Payment,Male,Graduate,Married,NA,MAHARASHTRA,25-35,32,4,Fair
Pending Payment,Male,Graduate,Unmarried,Idappadi,TAMIL NADU,25-35,26,4,Fair
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,23,4,Fair
Pending Payment,Female,Self Employed,Married,Mumbai,Maharashtra,25-35,31,5,Fair
Pending Payment,Male,Graduate,Married,Jaipur,RAJASTHAN,25-35,25,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,<25,24,4,Good
Pending Payment,Male,Post Graduate,Unmarried,Mylapore - Triplicane,TAMIL NADU,<25,24,4,Good
Pending Payment,Male,Self Employed,Unmarried,Bhubaneswar,ODISHA,25-35,25,4,Good
Pending Payment,Male,Post Graduate,Married,Bhubaneswar,ODISHA,25-35,33,4,Good
Pending Payment,Male,Self Employed,Unmarried,Bengaluru,Karnataka,<25,24,5,Bad
Pending Payment,Male,10th-12th,Unmarried,Ramagundam,TELANGANA,25-35,29,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Mangalore,KARNATAKA,25-35,29,5,Bad
